job,status,date
Designer,Тестовое,03/26/2022
Делопроизводитель,отказать,03/26/2022
Frontend Developer,Новый,03/26/2022
Офис-менеджер,Интервью,03/26/2022
Офис-менеджер,Интервью,03/26/2022
Системные аналитики,Новый,03/26/2022
Бухгалтер,Общаемся,03/26/2022
Бухгалтер,Новый,03/26/2022
Бухгалтер,Новый,03/26/2022
Релиз-менеджер,Первичный звонок,03/26/2022
Релиз-менеджер,Новый,03/26/2022
Релиз-менеджер,Отказ,03/26/2022
Релиз-менеджер,Бэклог,03/26/2022
Релиз-менеджер,Оффер,03/26/2022
New candidate,Бэклог,03/27/2022
Менеджер по продажам,Новый,03/27/2022
Project Manager,Отказался,03/27/2022
Офис-менеджер,Новый,03/27/2022
Системные аналитики,Интервью,03/27/2022
Системные аналитики,отказать,03/27/2022
Бухгалтер,Новый,03/27/2022
Бухгалтер,Испытательный,03/27/2022
Релиз-менеджер,отказать,03/27/2022
Релиз-менеджер,отказать,03/27/2022
Data Analytics,Интервью,03/28/2022
Менеджер по продажам,Отказ,03/28/2022
Designer,Общаемся,03/28/2022
Frontend Developer,Интервью,03/28/2022
Системные аналитики,Новый,03/28/2022
Системные аналитики,отказать,03/28/2022
Бухгалтер,Интервью,03/28/2022
Бухгалтер,Общаемся,03/28/2022
Бухгалтер,Отказ,03/28/2022
Релиз-менеджер,Первичный звонок,03/28/2022
Релиз-менеджер,Интервью,03/28/2022
